fullName,url,stars,forks,pushed,language,license_key,license,license_class,reuse_terms,archived,description,project_area
Yash159357/BlyFt,https://github.com/Yash159357/BlyFt,43,63,2025-11-08,Dart,mit,MIT License,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,"Brevity is a real-time news app that delivers concise updates with infinite scrolling, personalized feeds, and category browsing. Features include search, sharing, news chatbot, notifications, text-to-speech, tutorials, and custom theming—built for a smooth and engaging experience.",LiveTalk
never13254/GhostType,https://github.com/never13254/GhostType,40,4,2026-04-15,Swift,mit,MIT License,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,"macOS voice productivity app — built-in dictation, AI rewrite, and translation. Powered by local Whisper + LLM.",LiveTalk
agata/hootvoice,https://github.com/agata/hootvoice,39,3,2025-10-15,Rust,mit,MIT License,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,"HootVoice records your microphone and transcribes speech to text in real time using Whisper. It ships a simple floating toolbar and a settings UI with model/download management, device controls, and a user dictionary.",LiveTalk
isomoes/blivedm_rs,https://github.com/isomoes/blivedm_rs,39,6,2026-07-22,Rust,mit,MIT License,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,"一个功能强大的 Bilibili 直播间弹幕 WebSocket 客户端 Rust 库，支持实时弹幕监控、文字转语音（TTS）和浏览器 Cookie 自动检测。A powerful Bilibili live room DM (Danmaku) WebSocket client library for Rust, supporting real-time danmaku monitoring, Text-to-Speech (TTS), and automatic browser cookie detection.",LiveTalk
umutcetinkaya/live-translator,https://github.com/umutcetinkaya/live-translator,38,1,2026-07-28,Python,mit,MIT License,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,"Real-time system audio translation for macOS — translate any audio (YouTube, podcasts, meetings) live on screen with OpenAI or Google Gemini. On-device speech recognition; optional low-latency realtime mode.",LiveTalk
ds-kimi/Auris,https://github.com/ds-kimi/Auris,36,5,2026-08-24,Lua,mit,MIT License,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,"Real-time speech-to-text for Garry's Mod. Captures player voice , decodes Opus audio, and transcribes it with whisper.cpp. Submodules receive results through a simple hook API and decide what to do with them.",LiveTalk
armpro24-blip/MeetingBro,https://github.com/armpro24-blip/MeetingBro,35,11,2026-06-23,Python,mit,MIT License,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,"MeetingBro — Open-source, local-first AI meeting assistant. Real-time transcription, translation & live summaries. No platform plugin needed. Windows · macOS · Linux",LiveTalk
Orion-Quest/whisper-turbo-desktop,https://github.com/Orion-Quest/whisper-turbo-desktop,35,1,2026-05-05,Python,mit,MIT License,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,Windows desktop GUI for local Whisper transcription and English translation with bundled model/runtime,LiveTalk
COSS-India/voicera_mono_repository,https://github.com/COSS-India/voicera_mono_repository,35,24,2026-09-02,TypeScript,mit,MIT License,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,"A complete voice AI building block with telephony integration, featuring real-time speech-to-text, text-to-speech, and LLM-powered conversational agents.",LiveTalk
hwdsl2/docker-whisper-live,https://github.com/hwdsl2/docker-whisper-live,32,4,2026-08-18,Shell,other,Other,other,license present but non-standard — read the LICENSE before reuse,False,"Docker image for a self-hosted WhisperLive real-time speech-to-text server, powered by faster-whisper. Provides WebSocket streaming for live audio transcription and an OpenAI-compatible REST API. Supports all Whisper models, VAD, NVIDIA GPU (CUDA) acceleration, offline mode, and multi-arch (amd64, arm64).",LiveTalk
The-Data-Dilemma/MediBeng-Whisper-Tiny,https://github.com/The-Data-Dilemma/MediBeng-Whisper-Tiny,29,3,2025-07-24,Python,apache-2.0,Apache License 2.0,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,"MediBeng Whisper Tiny  improves doctor-patient transcription by training the Whisper Tiny model to translate mixed Bengali-English speech into English, making it easier for analysis, record-keeping, and using AI in healthcare.",LiveTalk
Ankur2606/Low-latency-AI-Voice-Assistant,https://github.com/Ankur2606/Low-latency-AI-Voice-Assistant,27,4,2026-04-15,Jupyter Notebook,mit,MIT License,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,"End-to-End AI Voice Assistant pipeline with Whisper for Speech-to-Text, Hugging Face LLM for response generation, and Edge-TTS for Text-to-Speech. Features include Voice Activity Detection (VAD), tunable parameters for pitch, gender, and speed, and real-time response with latency optimization.",LiveTalk
theaifutureguy/Vocal-Agent,https://github.com/theaifutureguy/Vocal-Agent,26,5,2025-06-23,Python,mit,MIT License,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,"A sophisticated real-time voice assistant that seamlessly integrates speech recognition, AI reasoning, and neural text-to-speech synthesis. It is designed for natural conversational interactions with advanced tool-calling capabilities.",LiveTalk
hate/keyless,https://github.com/hate/keyless,25,6,2025-12-15,Rust,mit,MIT License,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,"Privacy‑first, real‑time speech‑to‑text dictation. 100% local inference in Rust; hotkey to dictate anywhere (macOS, Linux, Windows).",LiveTalk
jhermesn/aws-real-time-subtitles,https://github.com/jhermesn/aws-real-time-subtitles,25,0,2026-08-29,HCL,mit,MIT License,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,Real-time speech-to-text + translation for live events. International speakers talk into their mic; translated subtitles appear fullscreen on their screen; the audience reads them via their screen.,LiveTalk
projectdiscovery/nuclei,https://github.com/projectdiscovery/nuclei,31042,3860,2026-09-06,Go,mit,MIT License,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,"Nuclei is a fast, customizable vulnerability scanner powered by the global security community and built on a simple YAML-based DSL, enabling collaboration to tackle trending vulnerabilities on the internet. It helps you find vulnerabilities in your applications, APIs, networks, DNS, and cloud configurations.",PyraSec
NVIDIA/SkillSpector,https://github.com/NVIDIA/SkillSpector,16367,1388,2026-09-06,Python,apache-2.0,Apache License 2.0,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,"Security scanner for AI agent skills. Detect vulnerabilities, malicious patterns, security risks, prompt injection, data exfiltration, and supply-chain risks in Claude Code, Codex, and MCP skills before you install them.",PyraSec
shadow1ng/fscan,https://github.com/shadow1ng/fscan,14514,1942,2026-09-01,Go,mit,MIT License,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,"一款内网综合扫描工具，方便一键自动化、全方位漏扫扫描。(An intranet comprehensive scanning tool, enabling one-click automated, all-round vulnerability scanning)",PyraSec
anchore/grype,https://github.com/anchore/grype,12840,873,2026-09-04,Go,apache-2.0,Apache License 2.0,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,A vulnerability scanner for container images and filesystems,PyraSec
future-architect/vuls,https://github.com/future-architect/vuls,12252,1241,2026-09-02,Go,gpl-3.0,GNU General Public License v3.0,copyleft,fork/modify OK; redistributing a derivative obliges same-license release of your changes,False,"Agent-less vulnerability scanner for Linux, FreeBSD, Container, WordPress, Programming language libraries, Network devices",PyraSec
google/osv-scanner,https://github.com/google/osv-scanner,10986,786,2026-09-05,Go,apache-2.0,Apache License 2.0,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,Vulnerability scanner written in Go which uses the data provided by https://osv.dev,PyraSec
anchore/syft,https://github.com/anchore/syft,9526,946,2026-09-04,Go,apache-2.0,Apache License 2.0,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,CLI tool and library for generating a Software Bill of Materials from container images and filesystems,PyraSec
NVIDIA/garak,https://github.com/NVIDIA/garak,9124,1252,2026-09-04,Python,apache-2.0,Apache License 2.0,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,the LLM vulnerability scanner,PyraSec
google/tsunami-security-scanner,https://github.com/google/tsunami-security-scanner,8613,924,2026-06-23,Java,apache-2.0,Apache License 2.0,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,Tsunami is a general purpose network security scanner with an extensible plugin system for detecting high severity vulnerabilities with high confidence.,PyraSec
six2dez/reconftw,https://github.com/six2dez/reconftw,8070,1228,2026-09-05,Shell,mit,MIT License,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,reconFTW is a tool designed to perform automated recon on a target domain by running the best set of tools to perform scanning and finding out vulnerabilities,PyraSec
presidentbeef/brakeman,https://github.com/presidentbeef/brakeman,7268,776,2026-08-13,Ruby,other,Other,other,license present but non-standard — read the LICENSE before reuse,False,A static analysis security vulnerability scanner for Ruby on Rails applications,PyraSec
infoslack/awesome-web-hacking,https://github.com/infoslack/awesome-web-hacking,7260,1359,2026-09-04,,mit,MIT License,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,A list of web application security,PyraSec
Tencent/AI-Infra-Guard,https://github.com/Tencent/AI-Infra-Guard,6157,574,2026-09-04,Python,apache-2.0,Apache License 2.0,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,"A full-stack AI Red Teaming platform securing AI ecosystems via Agent Scan, Skills Scan, MCP scan, AI Infra scan and LLM jailbreak evaluation.",PyraSec
OWASP/Nettacker,https://github.com/OWASP/Nettacker,5555,1164,2026-09-05,Python,apache-2.0,Apache License 2.0,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,Automated Penetration Testing Framework - Open-Source Vulnerability Scanner - Vulnerability Management,PyraSec
greenbone/openvas-scanner,https://github.com/greenbone/openvas-scanner,4810,799,2026-09-01,Rust,gpl-2.0,GNU General Public License v2.0,copyleft,fork/modify OK; redistributing a derivative obliges same-license release of your changes,False,This repository contains the scanner component for Greenbone Community Edition.,PyraSec
mitchellkrogza/nginx-ultimate-bad-bot-blocker,https://github.com/mitchellkrogza/nginx-ultimate-bad-bot-blocker,4787,523,2026-09-06,Shell,other,Other,other,license present but non-standard — read the LICENSE before reuse,False,"Nginx Block Bad Bots, Spam Referrer Blocker, Vulnerability Scanners, User-Agents, Malware, Adware, Ransomware, Malicious Sites, with anti-DDOS, Wordpress Theme Detector Blocking and Fail2Ban Jail for Repeat Offenders",PyraSec
RetireJS/retire.js,https://github.com/RetireJS/retire.js,4169,439,2026-08-23,JavaScript,apache-2.0,Apache License 2.0,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,scanner detecting the use of JavaScript libraries with known vulnerabilities. Can also generate an SBOM of the libraries it finds.,PyraSec
evyatarmeged/Raccoon,https://github.com/evyatarmeged/Raccoon,4013,502,2026-04-21,Python,mit,MIT License,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,A high performance offensive security tool for reconnaissance and vulnerability scanning,PyraSec
almandin/fuxploider,https://github.com/almandin/fuxploider,3330,510,2025-05-08,Python,gpl-3.0,GNU General Public License v3.0,copyleft,fork/modify OK; redistributing a derivative obliges same-license release of your changes,False,File upload vulnerability scanner and exploitation tool.,PyraSec
GitGuardian/ggshield,https://github.com/GitGuardian/ggshield,1995,216,2026-09-04,Python,mit,MIT License,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,"Detect and validate 500+ types of hardcoded secrets with advanced checks. Use it as a pre-commit hook, GitHub Action, or CLI for proactive secret detection and security.",PyraSec
msoedov/agentic_security,https://github.com/msoedov/agentic_security,1986,285,2026-09-01,Python,apache-2.0,Apache License 2.0,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,Agentic LLM Vulnerability Scanner / AI red teaming kit 🧪,PyraSec
wapiti-scanner/wapiti,https://github.com/wapiti-scanner/wapiti,1860,269,2026-08-19,Python,gpl-2.0,GNU General Public License v2.0,copyleft,fork/modify OK; redistributing a derivative obliges same-license release of your changes,False,Web vulnerability scanner written in Python3,PyraSec
1N3/BlackWidow,https://github.com/1N3/BlackWidow,1821,391,2026-04-17,Python,other,Other,other,license present but non-standard — read the LICENSE before reuse,False,A Python based web application scanner to gather OSINT and fuzz for OWASP vulnerabilities on a target website.,PyraSec
aquasecurity/trivy-action,https://github.com/aquasecurity/trivy-action,1410,359,2026-08-19,Shell,apache-2.0,Apache License 2.0,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,Runs Trivy as GitHub action to scan your Docker container image for vulnerabilities,PyraSec
ZupIT/horusec,https://github.com/ZupIT/horusec,1334,219,2026-09-05,Go,apache-2.0,Apache License 2.0,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,Horusec is an open source tool that improves identification of vulnerabilities in your project with just one command.,PyraSec
topscoder/nuclei-wordfence-cve,https://github.com/topscoder/nuclei-wordfence-cve,1280,156,2026-09-06,Python,mit,MIT License,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,"80k+ WordPress Nuclei templates, updated daily from Wordfence intel—filter by severity/tags/CVE and scan in one line. 🚀🔒",PyraSec
Hackmanit/Web-Cache-Vulnerability-Scanner,https://github.com/Hackmanit/Web-Cache-Vulnerability-Scanner,1205,160,2026-01-21,Go,apache-2.0,Apache License 2.0,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,Web Cache Vulnerability Scanner is a Go-based CLI tool for testing for web cache poisoning. It is developed by Hackmanit GmbH (http://hackmanit.de/).,PyraSec
CERT-Polska/Artemis,https://github.com/CERT-Polska/Artemis,1203,139,2026-09-04,Python,bsd-3-clause,"BSD 3-Clause ""New"" or ""Revised"" License",permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,A modular vulnerability scanner with automatic report generation capabilities.,PyraSec
affaan-m/agentshield,https://github.com/affaan-m/agentshield,1141,249,2026-07-22,TypeScript,mit,MIT License,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,"AI agent security scanner. Detect vulnerabilities in agent configurations, MCP servers, and tool permissions. Available as CLI, GitHub Action, ECC plugin, and GitHub App integration. 🛡️",PyraSec
mrwadams/stride-gpt,https://github.com/mrwadams/stride-gpt,1112,323,2026-09-02,Python,mit,MIT License,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,An AI-powered threat modeling tool that leverages OpenAI's GPT models to generate threat models for a given application based on the STRIDE methodology.,PyraSec
GamehunterKaan/AutoPWN-Suite,https://github.com/GamehunterKaan/AutoPWN-Suite,1096,138,2026-07-13,Python,other,Other,other,license present but non-standard — read the LICENSE before reuse,False,AutoPWN Suite is a project for scanning vulnerabilities and exploiting systems automatically.,PyraSec
vigolium/vigolium,https://github.com/vigolium/vigolium,1060,155,2026-09-04,Go,other,Other,other,license present but non-standard — read the LICENSE before reuse,False,"Vigolium - High-fidelity vulnerability scanner fusing agentic AI with native speed, modularity, and precision",PyraSec
mitchellkrogza/apache-ultimate-bad-bot-blocker,https://github.com/mitchellkrogza/apache-ultimate-bad-bot-blocker,980,197,2026-09-06,C,other,Other,other,license present but non-standard — read the LICENSE before reuse,False,"Apache Block Bad Bots, (Referer) Spam Referrer Blocker, Vulnerability Scanners, Malware, Adware, Ransomware, Malicious Sites, Wordpress Theme Detectors and Fail2Ban Jail for Repeat Offenders",PyraSec
Pantheon-Security/medusa,https://github.com/Pantheon-Security/medusa,977,152,2026-08-10,Python,agpl-3.0,GNU Affero General Public License v3.0,copyleft,fork/modify OK; redistributing a derivative obliges same-license release of your changes,False,"AI-first security scanner. NEW in v2026.7: Claude Code compromise detection — vet .claude/ hooks, permissions & skills before you clone — plus an always-on AI attack-signature scanner and native Rust & PHP rules. Also: medusa scan --git to vet any repo, medusa secrets scan for leaked API keys. 40,000+ patterns, zero setup.",PyraSec
qtc-de/remote-method-guesser,https://github.com/qtc-de/remote-method-guesser,933,106,2026-09-03,Java,gpl-3.0,GNU General Public License v3.0,copyleft,fork/modify OK; redistributing a derivative obliges same-license release of your changes,False,Java RMI Vulnerability Scanner,PyraSec
bigblackhat/oFx,https://github.com/bigblackhat/oFx,916,162,2025-10-24,Python,gpl-3.0,GNU General Public License v3.0,copyleft,fork/modify OK; redistributing a derivative obliges same-license release of your changes,False,一个开源的、开箱即用的漏洞批量验证框架,PyraSec
devops-kung-fu/bomber,https://github.com/devops-kung-fu/bomber,624,56,2026-02-10,Go,mpl-2.0,Mozilla Public License 2.0,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,Scans Software Bill of Materials (SBOMs) for security vulnerabilities,PyraSec
CycloneDX/specification,https://github.com/CycloneDX/specification,545,92,2026-09-05,XSLT,apache-2.0,Apache License 2.0,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,"OWASP CycloneDX is a full-stack Bill of Materials (BOM) standard that provides advanced supply chain capabilities for cyber risk reduction. SBOM, SaaSBOM, HBOM, AI/ML-BOM, CBOM, OBOM, MBOM, VDR, and VEX",PyraSec
owasp-dep-scan/blint,https://github.com/owasp-dep-scan/blint,453,46,2026-09-06,Python,mit,MIT License,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,blint is a Binary Linter that checks the security properties and capabilities of your executables. It can also generate a Software Bill-of-Materials (SBOM) for supported binaries.,PyraSec
trailofbits/it-depends,https://github.com/trailofbits/it-depends,411,24,2026-09-04,Python,lgpl-3.0,GNU Lesser General Public License v3.0,copyleft,fork/modify OK; redistributing a derivative obliges same-license release of your changes,False,A tool to automatically build a dependency graph and Software Bill of Materials (SBOM) for packages and arbitrary source code repositories.,PyraSec
CycloneDX/cyclonedx-python,https://github.com/CycloneDX/cyclonedx-python,390,98,2026-09-05,Python,apache-2.0,Apache License 2.0,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,CycloneDX Software Bill of Materials (SBOM) generator for Python projects and environments,PyraSec
CycloneDX/cyclonedx-maven-plugin,https://github.com/CycloneDX/cyclonedx-maven-plugin,384,106,2026-09-04,Java,apache-2.0,Apache License 2.0,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,Creates CycloneDX Software Bill of Materials (SBOM) from Maven projects,PyraSec
CycloneDX/cyclonedx-dotnet,https://github.com/CycloneDX/cyclonedx-dotnet,292,123,2026-08-11,C#,apache-2.0,Apache License 2.0,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,Creates CycloneDX Software Bill of Materials (SBOM) from .NET Projects,PyraSec
anchore/sbom-action,https://github.com/anchore/sbom-action,256,45,2026-09-04,TypeScript,apache-2.0,Apache License 2.0,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,GitHub Action for creating software bill of materials using Syft.,PyraSec
CycloneDX/cyclonedx-gradle-plugin,https://github.com/CycloneDX/cyclonedx-gradle-plugin,237,103,2026-09-04,Java,apache-2.0,Apache License 2.0,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,Creates CycloneDX Software Bill of Materials (SBOM) from Gradle projects,PyraSec
HeadyZhang/agent-audit,https://github.com/HeadyZhang/agent-audit,225,28,2026-07-04,Python,mit,MIT License,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,"Static security scanner for LLM agents — prompt injection, MCP config auditing, taint analysis. 51 rules mapped to OWASP Agentic Top 10 (2026). Works with LangChain, CrewAI, AutoGen.",PyraSec
CycloneDX/cyclonedx-gomod,https://github.com/CycloneDX/cyclonedx-gomod,187,40,2026-09-04,Go,apache-2.0,Apache License 2.0,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,Creates CycloneDX Software Bill of Materials (SBOM) from Go modules,PyraSec
BugTraceAI/BugTraceAI-CLI,https://github.com/BugTraceAI/BugTraceAI-CLI,184,33,2026-09-02,Python,apache-2.0,Apache License 2.0,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,"Autonomous AI-powered security scanner — multi-agent vulnerability detection, exploitation, and validation engine",PyraSec
PatrickGallucci/threat-model-templates,https://github.com/PatrickGallucci/threat-model-templates,183,48,2026-05-07,PowerShell,mit,MIT License,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,Templates for the Microsoft Threat Modeling Tool,PyraSec
praetorian-inc/trajan,https://github.com/praetorian-inc/trajan,182,13,2026-09-05,Go,apache-2.0,Apache License 2.0,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,A multi-platform CI/CD vulnerability detection and attack automation tool for identifying security weaknesses in pipeline configurations.,PyraSec
dsssssssm/juumla,https://github.com/dsssssssm/juumla,177,26,2026-04-10,Python,mit,MIT License,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,🦁 Python project to identify and scan for vulnerabilities related to the Joomla CMS project. It scans for common misconfigurations and public vulnerabilities.,PyraSec
CycloneDX/cyclonedx-rust-cargo,https://github.com/CycloneDX/cyclonedx-rust-cargo,174,66,2026-05-05,Rust,apache-2.0,Apache License 2.0,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,Creates CycloneDX Software Bill of Materials (SBOM) from Rust (Cargo) projects,PyraSec
Malwareman007/Scanner-and-Patcher,https://github.com/Malwareman007/Scanner-and-Patcher,174,52,2026-02-14,HTML,mit,MIT License,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,A Web Vulnerability Scanner and Patcher,PyraSec
BountySecurity/gbounty,https://github.com/BountySecurity/gbounty,167,31,2025-08-28,Go,mit,MIT License,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,"GBounty is a multi-step website vulnerability scanner developed in Golang designed to help companies, pentesters, and bug hunters identify potential vulnerabilities in web applications.",PyraSec
dehydr8/elevation-of-privilege,https://github.com/dehydr8/elevation-of-privilege,167,46,2026-08-02,JavaScript,mit,MIT License,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,An online multiplayer version of the Elevation of Privilege (EoP) threat modeling card game,PyraSec
MustacheCase/zanadir,https://github.com/MustacheCase/zanadir,165,6,2026-08-28,Go,mit,MIT License,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,zanadir is an open-source CLI tool that analyzes GitHub repositories and suggests open-source tools to enhance CI/CD best practices.,PyraSec
Maldev-Academy/ElectronVulnScanner,https://github.com/Maldev-Academy/ElectronVulnScanner,163,11,2025-11-28,C,mit,MIT License,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,Automatically scan the file system to identify Electron applications vulnerable to ASAR tampering.,PyraSec
wordfence/wordfence-cli,https://github.com/wordfence/wordfence-cli,157,34,2026-09-04,Python,gpl-3.0,GNU General Public License v3.0,copyleft,fork/modify OK; redistributing a derivative obliges same-license release of your changes,False,Wordfence malware and vulnerability scanner command line utility.,PyraSec
l3montree-dev/devguard,https://github.com/l3montree-dev/devguard,157,44,2026-09-06,Go,other,Other,other,license present but non-standard — read the LICENSE before reuse,False,"DevGuard Backend - Secure your Software Supply Chain - Attestation-based compliance as Code, manage your CVEs seamlessly, Integrate your Vulnerability Scanners, Security Framework Documentation made easy - OWASP Incubating Project",PyraSec
seqra/opentaint,https://github.com/seqra/opentaint,154,12,2026-09-05,Kotlin,apache-2.0,Apache License 2.0,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,"The open source taint analysis engine for the AI era. A formal dataflow analysis tool you can customize and self-host, built so AI agents drive your application security analysis without burning tokens on every scan. AI-ready open source alternative to Semgrep Pro and CodeQL.",PyraSec
hackersatyamrastogi/react2shell-ultimate,https://github.com/hackersatyamrastogi/react2shell-ultimate,153,31,2025-12-10,Python,mit,MIT License,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,"React2Shell Ultimate - The most comprehensive CVE-2025-66478 Scanner for Next.js RSC RCE vulnerability. Multi-mode detection, WAF bypass, local scanning.",PyraSec
joshuavanderpoll/CVE-2021-3129,https://github.com/joshuavanderpoll/CVE-2021-3129,153,26,2026-05-21,Python,gpl-3.0,GNU General Public License v3.0,copyleft,fork/modify OK; redistributing a derivative obliges same-license release of your changes,False,Laravel RCE Exploit PoC - CVE-2021-3129 (user-friendly with automatic log path detection),PyraSec
CycloneDX/cyclonedx-node-npm,https://github.com/CycloneDX/cyclonedx-node-npm,149,29,2026-09-05,JavaScript,apache-2.0,Apache License 2.0,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,Create CycloneDX Software Bill of Materials (SBOM) from Node.js NPM projects.,PyraSec
RefactorSecurity/vscode-security-notes,https://github.com/RefactorSecurity/vscode-security-notes,145,8,2026-05-03,TypeScript,other,Other,other,license present but non-standard — read the LICENSE before reuse,False,Create notes during a security code review in VSCode 📝 Import your favorite SAST tool findings 🛠️ and collaborate with others 🤝,PyraSec
nikstur/bombon,https://github.com/nikstur/bombon,145,17,2026-09-01,Rust,mit,MIT License,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,Nix CycloneDX Software Bills of Materials (SBOMs),PyraSec
CycloneDX/cyclonedx-node-module,https://github.com/CycloneDX/cyclonedx-node-module,145,39,2026-09-05,,apache-2.0,Apache License 2.0,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,creates CycloneDX Software-Bill-of-Materials (SBOM) from Node.js-based projects,PyraSec
kapilduraphe/mcp-watch,https://github.com/kapilduraphe/mcp-watch,136,17,2026-07-20,TypeScript,mit,MIT License,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,A comprehensive security scanner for Model Context Protocol (MCP) servers that detects vulnerabilities and security issues in your MCP server implementations.,PyraSec
CLincat/vulcat,https://github.com/CLincat/vulcat,132,17,2026-04-14,Python,gpl-3.0,GNU General Public License v3.0,copyleft,fork/modify OK; redistributing a derivative obliges same-license release of your changes,False,vulcat可用于扫描Web端常见的CVE、CNVD等编号的漏洞，发现漏洞时会返回Payload信息。部分漏洞还支持命令行交互模式，可以持续利用漏洞,PyraSec
TrixSec/waymap,https://github.com/TrixSec/waymap,130,23,2026-08-10,Python,gpl-3.0,GNU General Public License v3.0,copyleft,fork/modify OK; redistributing a derivative obliges same-license release of your changes,False,Waymap is a fast and optimized web vulnerability scanner built for penetration testers. It helps in identifying vulnerabilities by testing against various payloads.,PyraSec
choupit0/MassVulScan,https://github.com/choupit0/MassVulScan,128,14,2025-09-06,Shell,gpl-3.0,GNU General Public License v3.0,copyleft,fork/modify OK; redistributing a derivative obliges same-license release of your changes,False,A fast network scanning tool to detect open ports and security vulnerabilities (Compatible with Debian & Red Hat OS),PyraSec
